// AVEC BOOL ESSAI 1


[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_C/Marsh_C_NESW_Island_1x1.cell, cellid=20, cellpos=(20736.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_B/Marsh_B_NESW_A.cell, cellid=11, cellpos=(27648.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_Trans/Marsh_NESW_SabretoothEntry_A.cell, cellid=15, cellpos=(23040.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NESW_B.cell, cellid=16, cellpos=(25344.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_B/Marsh_B_NESW_B.cell, cellid=8, cellpos=(20736.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_Trans/Marsh_Mutate_Caves_Entry_A.cell, cellid=10, cellpos=(25344.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_C/Marsh_C_NESW_Island_1x2_B.cell, cellid=21, cellpos=(23040.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_C/Marsh_C_NESW_Island_1x2_A.cell, cellid=22, cellpos=(25344.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NESW_C.cell, cellid=14, cellpos=(20736.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NESW_A.cell, cellid=26, cellpos=(20736.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_C/Marsh_C_NESW_Island_A.cell, cellid=17, cellpos=(27648.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
