// CELL LOG SANS BOOL ESSAI 1


[0022.12] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_Trans/Dino_Jungle_NESW_Entry_A.cell, cellid=85, cellpos=(-5760.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.12] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_A.cell, cellid=103, cellpos=(-5760.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_B/Dino_Jungle_B_NESW_B.cell, cellid=82, cellpos=(-12672.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NSW_A.cell, cellid=114, cellpos=(-8064.00, 13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_B.cell, cellid=90, cellpos=(-8064.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_B/Dino_Jungle_B_NESW_A.cell, cellid=106, cellpos=(-12672.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_C.cell, cellid=88, cellpos=(-12672.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_Trans/Dino_Jungle_SacredValley_Entry.cell, cellid=83, cellpos=(-10368.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_C.cell, cellid=89, cellpos=(-10368.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_FILLER_A.cell, cellid=116, cellpos=(-3456.00, 13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_C.cell, cellid=84, cellpos=(-8064.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_Village_B.cell, cellid=108, cellpos=(-8064.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_Village_A.cell, cellid=102, cellpos=(-8064.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_Village_C.cell, cellid=107, cellpos=(-10368.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_C_NESW_A.cell, cellid=97, cellpos=(-5760.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_C.cell, cellid=95, cellpos=(-10368.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_A.cell, cellid=96, cellpos=(-8064.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESW_B.cell, cellid=94, cellpos=(-12672.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0022.13] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_Village_D.cell, cellid=101, cellpos=(-10368.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
