[0080.40] Log: [[Game]] Navi Fast Triangle Lookup: 26x33 = 858 sectors
[0080.41] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X0_Y0_NYPD_Rear.cell, cellid=1, cellpos=(0.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y1_Rhino_A.cell, cellid=2, cellpos=(2304.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y2_Rhino_B.cell, cellid=3, cellpos=(4608.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y0_NW.cell, cellid=4, cellpos=(0.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y0_NEW.cell, cellid=5, cellpos=(0.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X2_Y0_NE.cell, cellid=6, cellpos=(0.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y1_SW.cell, cellid=7, cellpos=(2304.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X3_Y1_NE.cell, cellid=8, cellpos=(2304.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X2_Y2_NESW_TR.cell, cellid=9, cellpos=(4608.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X3_Y3_Gang_B.cell, cellid=10, cellpos=(6912.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X2_Y3_Gang_A.cell, cellid=11, cellpos=(6912.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
