[0145.27] Log: [[Game]] CLIENT: RegionChange to Unknown, seed=0, clearingAllInterest=0
[0145.27] Log: [[Game]] CLIENT: RegionChange to Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, seed=1488502313, clearingAllInterest=0
[0145.27] Error: [VerifyFail] Verify failed: settings.generateAreas == false
        File:D:\mirrorBuilds_source05\MarvelGame_v52\Source\Game\Game/Region/Region.cpp Line:344

[0145.27] Log: [[Game]] Navi Fast Triangle Lookup: 16x18 = 288 sectors
[0145.29] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X0Y1.cell, cellid=1, cellpos=(0.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X0Y2.cell, cellid=2, cellpos=(0.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X0Y3.cell, cellid=3, cellpos=(0.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X1Y1.cell, cellid=4, cellpos=(2304.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X1Y2.cell, cellid=5, cellpos=(2304.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X1Y3.cell, cellid=6, cellpos=(2304.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X2Y0.cell, cellid=7, cellpos=(4608.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X2Y1.cell, cellid=8, cellpos=(4608.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X2Y2.cell, cellid=9, cellpos=(4608.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X2Y3.cell, cellid=10, cellpos=(4608.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X3Y0.cell, cellid=11, cellpos=(6912.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
